,,,,"Перечень объектов, подлежащих мониторингу в 2 квартале 2026 года",,,,,,,,,,,,,,,,,,,,,,
№№,Ссылка на дашборд,УИН,Код ДС,Наименование объекта,Статус,ГРБС,Заказчик,Генподрядчик,"Плановый ввод
 по директивному графику (по дашборду)",%,категория,График  ВВЕ 26-30,Строймониторинг (план),Строймониторинг (факт),Стройконтроль (план),Стройконтроль (факт),Мониторинг объектов метрополитена (план),Мониторинг объектов метрополитена (факт),Мониторинг уникальных объектов (план),Мониторинг уникальных объектов (факт),Лабораторные исследования (план),Лабораторные исследования (факт),Мониторинг СУИД (план),Мониторинг СУИД (факт),Мониторинг КСГ (план),Мониторинг КСГ (факт) 
36,https://dashboard-stroi.mos.ru/dashboard/1101,TT0000-15-0482-001,019-0125,"ЮВХ-10. Участок от МКАД до а/д дороги «Солнцево-Бутово-Варшавское ш.»
 Этапы 3.2.1, 3.2.2, 3.3.3.2.2, 3.3.5, 3.3.2.3, 3.3.3.3, 3.3.3.4",в строительстве,ДСТИИ,"ГКУ ""УДМС""","АО ""МОСИНЖПРОЕКТ""",31.03.2026,100,,Март 2026,V,,,,,,,,,,V,,V,09.04.2026
37,https://dashboard-stroi.mos.ru/dashboard/1104,HH5950-99-0001-001,019-0641,"Инженерная и транспортная инфраструктура ММДЦ ""Москва-Сити"". 1 этап. Этап 1.1, Этап 1.2, Этап 1.4, Этап 1.5, Этап 1.6. Этап 1.7. Этап 1.1.1. , Этап 1.1.2. , Этап 1.1.3., Этап 1.2. Этап 1.4.1., Этап 1.4.2. ,Этап 1.5., Этап 1.6.1. , Этап 1.6.2. , Этап 1.3.1.,Этап 1.3.2. , Этап 1.3.3.",в строительстве,ДСТИИ,"ГКУ ""УДМС""","АО ""ГК ЕКС""",30.6.2026,93,81-100,Июнь 2026,V,,V,,,,,,,,V,,V,09.04.2026
38,https://dashboard-stroi.mos.ru/dashboard/1106,GI9097-13-0001-001,021-0729,"Реконструкция объекта незавершенного строительства (ГБУ Центр реабилитации инвалидов ""Красная Пахра""), внешних инженерных сетей и сооружений, включая газовую котельную, по адресу: г.о. Троицк",в строительстве,ДСТИИ,"ГКУ ""УДМС""","АО ""ХК ГВСУ ЦЕНТР""",31.7.2026,80,61-80,Июль 2026,V,,V,,,,,,,,V,,V,09.04.2026
39,https://dashboard-stroi.mos.ru/dashboard/1108,TT0000-15-0300-005,012-2202,"Реконструкция транспортной развязки на пересечении МКАД с Липецкой ул. со строительством необходимых для функционирования подъездных дорог. Этапы , 1.1.3.5 (ЛОС № 3), 1.1.3.6 (ЛОС № 1,2,4), 1.1.3.7 (2 НПП)",в строительстве,ДСТИИ,"ГКУ ""УДМС""","АО ""МСУ-1""",31.8.2026,71,61-80,Август 2026,V,,V,,,,,,V,,V,,V,24.03.2026
40,https://dashboard-stroi.mos.ru/dashboard/1109,II0654-99-0001-001,025-0172,Транспортная развязка на пересечении МКАД с Липецкой ул. Этапы 1.1.3.9 и 1.2 (инженерные сети),в строительстве,ДСТИИ,"ГКУ ""УДМС""","АО ""МСУ-1""",26.10.2025,67,61-80,отсутствует,V,,V,,,,,,,,V,,V,24.03.2026
41,https://dashboard-stroi.mos.ru/dashboard/1110,HH8586-99-0002-001,016-0754,"Технологическая часть ТПУ на станции метро ""Варшавская""",в строительстве,ДСТИИ,"ГКУ ""УДМС""","ООО ""Организатор""",30.09.2026,46,41-60,Сентябрь 2026,V,,V,,,,,,V,,V,,V,09.04.2026
42,https://dashboard-stroi.mos.ru/dashboard/1118,TT0000-15-0119-006,017-0614,Строительство участков улично-дорожной сети для ТПУ «Ярославская» (этап 1.5),в строительстве,ДСТИИ,"ГКУ ""УДМС""","АО ""МСУ-1""",01.05.2027,84,81-100,Май 2027,V,,V,,,,,,,,V,,V,24.03.2026
43,https://dashboard-stroi.mos.ru/dashboard/2,TT0000-99-7861-001,020-0458,"""Жилой дом с инженерными сетями и благоустройством территории (со сносом зданий по адресу: г. Москва, ул. 5-я Кожуховская, д. 35 и ул. П.Романова, д.10) по адресу: г. Москва, район Южнопортовый, земельный участок 10 (Петра Романова ул., вл. 10) (Юго-Восточный административный округ)",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","ООО ""СТРОЙНИК""",30.06.2026,66,61-80,отсутствует,V,,V,,,,,,,,V,,V,18.03.2026
44,https://dashboard-stroi.mos.ru/dashboard/14,HH2159-10-0001-001,021-0539,"""Жилой дом с приспособлением подземной автостоянки под защитное сооружение гражданской обороны - ""укрытие"" (ЗCГО), с инженерными сетями и благоустройством территории (со сносом жилых домов по адресам: Молодогвардейская ул., д. 51, д. 53) по адресу: г. Москва, район Кунцево, улица Молодогвардейская, земельный участок 53 (Молодогвардейская ул., вл. 51, вл. 53) (Западный административный округ)""",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","ООО ""СТРОЙНИК""",31.05.2026,72,61-80,отсутствует,V,,V,,,,,,,,V,,V,18.03.2026
45,https://dashboard-stroi.mos.ru/dashboard/48,TT0000-99-0926-001,020-0105,"""Жилой дом с инженерными сетями и благоустройством территории (со сносом здания по адресу: г. Москва, район Текстильщики, кв-л Грайвороново 90А, корп. 12)"" по адресу: г. Москва, внутригородское муниципальное образование Текстильщики, улица Грайвороновская, земельный участок 90А/12 (Юго-Восточный административный округ)",в строительстве,ДГП,"ФОНД ""РЕНОВАЦИИ""","ООО ""СТРОЙНИК""",30.04.2026,84,81-100,отсутствует,V,,V,,,,,,,,V,,V,18.03.2026
